"Date","Description","Cash Flow","Cash Flow Type","From Source","To Source","Amount","Currency","Cash Flow Detail","ForWho","Status","Note"
"2026-03-10","Food & Groceries","Expense","Food_Expenses","Cash_MG","-","30000","JPY","Cooking Food","US","Need","Groceries"
"2026-03-12","Fashion & Clothing","Expense","Fashion_Expenses","Cash_MG","-","5000","JPY","Outfit Cloth","US","Want","Clothes"
"2026-03-14","Daily Living Supplies","Expense","Living_Expenses","Cash_MG","-","10000","JPY","Daily Supplies","US","Need","Living Supplies"
"2026-03-16","Healthcare & Medicine","Expense","Healthcare","Cash_MG","-","5000","JPY","Medicine","US","Need","Healthcare"
"2026-03-25","Family Myanmar Living Support","Expense","Family_Support","KBZPay_MG","-","1000000","MMK","Living Support","Mother","Need","MMK Family Support"
"2026-04-01","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","232500","JPY","Salary1","MG","-","Monthly Salary"
"2026-04-01","Project Income","Income","Business_Income","-","KBZPay_MG","1000000","MMK","Tiktok","MG","-","MMK Income"
"2026-04-02","Cash Allowance Transfer","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","55000","JPY","Transfer","MG","-","Cash for daily living"
"2026-04-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","House Rent"
"2026-04-05","Electricity & Utilities","Expense","Bills_Utilities","Bk-YUCHO_MG","-","15000","JPY","Electricity Bill","US","Need","Bills"
"2026-04-15","National Insurance & Taxes","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","70000","JPY","Health Insurance","US","Need","Insurance & Tax"
"2026-04-20","Work Equipment & Supplies","Expense","Work_Expenses","Bk-YUCHO_MG","-","30000","JPY","Stationery","MG","Need","Work Expenses"
"2026-04-22","Education & Courses","Expense","Education","Bk-YUCHO_MG","-","5000","JPY","Online Course","MG","Need","Education"
"2026-04-24","Entertainment & Hobbies","Expense","Entertainment","Bk-YUCHO_MG","-","5000","JPY","Streaming","US","Want","Entertainment"
"2026-04-08","Monthly Transportation Fare","Expense","Transportation","Cash_MG","-","5000","JPY","Train","US","Need","Commute Fare"
"2026-04-10","Food & Groceries","Expense","Food_Expenses","Cash_MG","-","30000","JPY","Cooking Food","US","Need","Groceries"
"2026-04-12","Fashion & Clothing","Expense","Fashion_Expenses","Cash_MG","-","5000","JPY","Outfit Cloth","US","Want","Clothes"
"2026-04-14","Daily Living Supplies","Expense","Living_Expenses","Cash_MG","-","10000","JPY","Daily Supplies","US","Need","Living Supplies"
"2026-04-16","Healthcare & Medicine","Expense","Healthcare","Cash_MG","-","5000","JPY","Medicine","US","Need","Healthcare"
"2026-04-25","Family Myanmar Living Support","Expense","Family_Support","KBZPay_MG","-","1000000","MMK","Living Support","Mother","Need","MMK Family Support"
"2026-05-01","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","232500","JPY","Salary1","MG","-","Monthly Salary"
"2026-05-01","Project Income","Income","Business_Income","-","KBZPay_MG","1000000","MMK","Tiktok","MG","-","MMK Income"
"2026-05-02","Cash Allowance Transfer","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","55000","JPY","Transfer","MG","-","Cash for daily living"
"2026-05-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","House Rent"
"2026-05-05","Electricity & Utilities","Expense","Bills_Utilities","Bk-YUCHO_MG","-","15000","JPY","Electricity Bill","US","Need","Bills"
"2026-05-15","National Insurance & Taxes","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","70000","JPY","Health Insurance","US","Need","Insurance & Tax"
"2026-05-20","Work Equipment & Supplies","Expense","Work_Expenses","Bk-YUCHO_MG","-","30000","JPY","Stationery","MG","Need","Work Expenses"
"2026-05-22","Education & Courses","Expense","Education","Bk-YUCHO_MG","-","5000","JPY","Online Course","MG","Need","Education"
"2026-05-24","Entertainment & Hobbies","Expense","Entertainment","Bk-YUCHO_MG","-","5000","JPY","Streaming","US","Want","Entertainment"
"2026-05-08","Monthly Transportation Fare","Expense","Transportation","Cash_MG","-","5000","JPY","Train","US","Need","Commute Fare"
"2026-05-10","Food & Groceries","Expense","Food_Expenses","Cash_MG","-","30000","JPY","Cooking Food","US","Need","Groceries"
"2026-05-12","Fashion & Clothing","Expense","Fashion_Expenses","Cash_MG","-","5000","JPY","Outfit Cloth","US","Want","Clothes"
"2026-05-14","Daily Living Supplies","Expense","Living_Expenses","Cash_MG","-","10000","JPY","Daily Supplies","US","Need","Living Supplies"
"2026-05-16","Healthcare & Medicine","Expense","Healthcare","Cash_MG","-","5000","JPY","Medicine","US","Need","Healthcare"
"2026-05-25","Family Myanmar Living Support","Expense","Family_Support","KBZPay_MG","-","1000000","MMK","Living Support","Mother","Need","MMK Family Support"
"2026-06-01","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","232500","JPY","Salary1","MG","-","Monthly Salary"
"2026-06-01","Project Income","Income","Business_Income","-","KBZPay_MG","1000000","MMK","Tiktok","MG","-","MMK Income"
"2026-06-02","Cash Allowance Transfer","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","55000","JPY","Transfer","MG","-","Cash for daily living"
"2026-06-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","House Rent"
"2026-06-05","Electricity & Utilities","Expense","Bills_Utilities","Bk-YUCHO_MG","-","15000","JPY","Electricity Bill","US","Need","Bills"
"2026-06-15","National Insurance & Taxes","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","70000","JPY","Health Insurance","US","Need","Insurance & Tax"
"2026-06-20","Work Equipment & Supplies","Expense","Work_Expenses","Bk-YUCHO_MG","-","30000","JPY","Stationery","MG","Need","Work Expenses"
"2026-06-22","Education & Courses","Expense","Education","Bk-YUCHO_MG","-","5000","JPY","Online Course","MG","Need","Education"
"2026-06-24","Entertainment & Hobbies","Expense","Entertainment","Bk-YUCHO_MG","-","5000","JPY","Streaming","US","Want","Entertainment"
"2026-06-08","Monthly Transportation Fare","Expense","Transportation","Cash_MG","-","5000","JPY","Train","US","Need","Commute Fare"
"2026-06-10","Food & Groceries","Expense","Food_Expenses","Cash_MG","-","30000","JPY","Cooking Food","US","Need","Groceries"
"2026-06-12","Fashion & Clothing","Expense","Fashion_Expenses","Cash_MG","-","5000","JPY","Outfit Cloth","US","Want","Clothes"
"2026-06-14","Daily Living Supplies","Expense","Living_Expenses","Cash_MG","-","10000","JPY","Daily Supplies","US","Need","Living Supplies"
"2026-06-16","Healthcare & Medicine","Expense","Healthcare","Cash_MG","-","5000","JPY","Medicine","US","Need","Healthcare"
"2026-06-25","Family Myanmar Living Support","Expense","Family_Support","KBZPay_MG","-","1000000","MMK","Living Support","Mother","Need","MMK Family Support"
"2026-07-01","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","232500","JPY","Salary1","MG","-","Monthly Salary"
"2026-07-01","Project Income","Income","Business_Income","-","KBZPay_MG","1000000","MMK","Tiktok","MG","-","MMK Income"
"2026-07-02","Cash Allowance Transfer","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","55000","JPY","Transfer","MG","-","Cash for daily living"
"2026-07-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","House Rent"
"2026-07-05","Electricity & Utilities","Expense","Bills_Utilities","Bk-YUCHO_MG","-","15000","JPY","Electricity Bill","US","Need","Bills"
"2026-07-15","National Insurance & Taxes","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","70000","JPY","Health Insurance","US","Need","Insurance & Tax"
"2026-07-20","Work Equipment & Supplies","Expense","Work_Expenses","Bk-YUCHO_MG","-","30000","JPY","Stationery","MG","Need","Work Expenses"
"2026-07-22","Education & Courses","Expense","Education","Bk-YUCHO_MG","-","5000","JPY","Online Course","MG","Need","Education"
"2026-07-24","Entertainment & Hobbies","Expense","Entertainment","Bk-YUCHO_MG","-","5000","JPY","Streaming","US","Want","Entertainment"
"2026-07-08","Monthly Transportation Fare","Expense","Transportation","Cash_MG","-","5000","JPY","Train","US","Need","Commute Fare"
"2026-07-10","Food & Groceries","Expense","Food_Expenses","Cash_MG","-","30000","JPY","Cooking Food","US","Need","Groceries"
"2026-07-12","Fashion & Clothing","Expense","Fashion_Expenses","Cash_MG","-","5000","JPY","Outfit Cloth","US","Want","Clothes"
"2026-07-14","Daily Living Supplies","Expense","Living_Expenses","Cash_MG","-","10000","JPY","Daily Supplies","US","Need","Living Supplies"
"2026-07-16","Healthcare & Medicine","Expense","Healthcare","Cash_MG","-","5000","JPY","Medicine","US","Need","Healthcare"
"2026-07-25","Family Myanmar Living Support","Expense","Family_Support","KBZPay_MG","-","1000000","MMK","Living Support","Mother","Need","MMK Family Support"
"2026-08-01","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","232500","JPY","Salary1","MG","-","Monthly Salary"
"2026-08-01","Project Income","Income","Business_Income","-","KBZPay_MG","1000000","MMK","Tiktok","MG","-","MMK Income"
"2026-08-02","Cash Allowance Transfer","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","55000","JPY","Transfer","MG","-","Cash for daily living"
"2026-08-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","House Rent"
"2026-08-05","Electricity & Utilities","Expense","Bills_Utilities","Bk-YUCHO_MG","-","15000","JPY","Electricity Bill","US","Need","Bills"
"2026-08-15","National Insurance & Taxes","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","70000","JPY","Health Insurance","US","Need","Insurance & Tax"
"2026-08-20","Work Equipment & Supplies","Expense","Work_Expenses","Bk-YUCHO_MG","-","30000","JPY","Stationery","MG","Need","Work Expenses"
"2026-08-22","Education & Courses","Expense","Education","Bk-YUCHO_MG","-","5000","JPY","Online Course","MG","Need","Education"
"2026-08-24","Entertainment & Hobbies","Expense","Entertainment","Bk-YUCHO_MG","-","5000","JPY","Streaming","US","Want","Entertainment"
"2026-08-08","Monthly Transportation Fare","Expense","Transportation","Cash_MG","-","5000","JPY","Train","US","Need","Commute Fare"
"2026-08-10","Food & Groceries","Expense","Food_Expenses","Cash_MG","-","30000","JPY","Cooking Food","US","Need","Groceries"
"2026-08-12","Fashion & Clothing","Expense","Fashion_Expenses","Cash_MG","-","5000","JPY","Outfit Cloth","US","Want","Clothes"
"2026-08-14","Daily Living Supplies","Expense","Living_Expenses","Cash_MG","-","10000","JPY","Daily Supplies","US","Need","Living Supplies"
"2026-08-16","Healthcare & Medicine","Expense","Healthcare","Cash_MG","-","5000","JPY","Medicine","US","Need","Healthcare"
"2026-08-25","Family Myanmar Living Support","Expense","Family_Support","KBZPay_MG","-","1000000","MMK","Living Support","Mother","Need","MMK Family Support"
