"Date","Description","Cash Flow","Cash Flow Type","From Source","To Source","Amount","Currency","Cash Flow Detail","ForWho","Status","Note"
"2026-02-05","City Gas Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","3800","JPY","Gas Bill","US","Need","Gas Utility"
"2026-02-06","High-Speed Internet Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","4800","JPY","Internet Bill","US","Need","Home Fiber"
"2026-02-07","Supermarket Cooking Groceries","Expense","Food_Expenses","Cash_MG","-","7500","JPY","Cooking Food","US","Need","Week 1 Food"
"2026-02-14","Meat & Vegetables Groceries","Expense","Food_Expenses","Cash_MG","-","8200","JPY","Cooking Food","US","Need","Week 2 Food"
"2026-02-21","Dining Out & Dinner","Expense","Food_Expenses","Cash_MG","-","7800","JPY","Dining Out","US","Want","Family Dinner"
"2026-02-28","Snacks & Groceries","Expense","Food_Expenses","Cash_MG","-","5500","JPY","Snacks & Drinks","US","Need","Week 4 Food"
"2026-02-08","Monthly Train Pass / Fare","Expense","Transportation","Cash_MG","-","4200","JPY","Train","US","Need","Commute Pass"
"2026-02-09","Kitchen & Daily Supplies","Expense","Living_Expenses","Cash_MG","-","4500","JPY","Daily Supplies","US","Need","Home Essentials"
"2026-02-18","Laundry & Bathroom Items","Expense","Living_Expenses","Cash_MG","-","3800","JPY","Laundry Items","US","Need","Detergent & Tissue"
"2026-02-11","Daily Clothes & Shoes","Expense","Fashion_Expenses","Crd-MUFG_MG","-","4500","JPY","Outfit Cloth","US","Want","Casual Wear"
"2026-02-15","National Health Insurance & Pension","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","45000","JPY","Health Insurance","US","Need","Monthly Social Insurance"
"2026-02-16","Technical Books & Online Course","Expense","Education","Bk-YUCHO_MG","-","4200","JPY","Online Course","MG","Need","Skill Upgrade"
"2026-02-17","Clinic & Pharmacy Medicine","Expense","Healthcare","Cash_MG","-","3200","JPY","Medicine","US","Need","Vitamin & Medicine"
"2026-02-19","Streaming & Entertainment","Expense","Entertainment","Crd-MUFG_MG","-","3500","JPY","Streaming","US","Want","Monthly Entertainment"
"2026-02-20","Office Stationery & Printing","Expense","Work_Expenses","Bk-YUCHO_MG","-","4800","JPY","Stationery","MG","Need","Work Supplies"
"2026-02-22","Family Living Support","Expense","Family_Support","Bk-YUCHO_MG","-","30000","JPY","Living Support","Mother","Need","Monthly Family Support"
"2026-02-25","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","320000","JPY","Salary1","MG","-","Monthly Salary Deposit"
"2026-02-25","Performance Bonus / Extra","Income","Extra_Income","-","Bk-YUCHO_MG","30000","JPY","Bonus","MG","-","Monthly Performance Extra"
"2026-02-25","Online Business Income","Income","Business_Income","-","KBZPay_MG","800000","MMK","Tiktok","MG","-","Monthly Online Income"
"2026-02-27","Credit Card Auto Payoff","Transfer","Transfer","Bk-YUCHO_MG","Crd-MUFG_MG","8000","JPY","Transfer","MG","-","Credit Card Settlement"
"2026-02-28","Laptop Goal Savings","Transfer","Savings_Investments","Bk-YUCHO_MG","Bk-YUCHO_MG","25000","JPY","Laptop","MG","-","Laptop Savings Deposit"
"2026-03-02","ATM Cash Withdrawal","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","50000","JPY","Transfer","MG","-","Monthly Cash Allowance"
"2026-03-02","Monthly Pocket Transfer","Transfer","Transfer","Bk-YUCHO_MG","YUCHO_CS","20000","JPY","Transfer","CS","-","CS Pocket Money"
"2026-03-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","Monthly House Rent"
"2026-03-05","Electricity Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","6200","JPY","Electricity Bill","US","Need","Power Bill"
"2026-03-05","City Gas Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","3800","JPY","Gas Bill","US","Need","Gas Utility"
"2026-03-06","High-Speed Internet Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","4800","JPY","Internet Bill","US","Need","Home Fiber"
"2026-03-07","Supermarket Cooking Groceries","Expense","Food_Expenses","Cash_MG","-","7500","JPY","Cooking Food","US","Need","Week 1 Food"
"2026-03-14","Meat & Vegetables Groceries","Expense","Food_Expenses","Cash_MG","-","8200","JPY","Cooking Food","US","Need","Week 2 Food"
"2026-03-21","Dining Out & Dinner","Expense","Food_Expenses","Cash_MG","-","7800","JPY","Dining Out","US","Want","Family Dinner"
"2026-03-28","Snacks & Groceries","Expense","Food_Expenses","Cash_MG","-","5500","JPY","Snacks & Drinks","US","Need","Week 4 Food"
"2026-03-08","Monthly Train Pass / Fare","Expense","Transportation","Cash_MG","-","4200","JPY","Train","US","Need","Commute Pass"
"2026-03-09","Kitchen & Daily Supplies","Expense","Living_Expenses","Cash_MG","-","4500","JPY","Daily Supplies","US","Need","Home Essentials"
"2026-03-18","Laundry & Bathroom Items","Expense","Living_Expenses","Cash_MG","-","3800","JPY","Laundry Items","US","Need","Detergent & Tissue"
"2026-03-11","Daily Clothes & Shoes","Expense","Fashion_Expenses","Crd-MUFG_MG","-","4500","JPY","Outfit Cloth","US","Want","Casual Wear"
"2026-03-15","National Health Insurance & Pension","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","45000","JPY","Health Insurance","US","Need","Monthly Social Insurance"
"2026-03-16","Technical Books & Online Course","Expense","Education","Bk-YUCHO_MG","-","4200","JPY","Online Course","MG","Need","Skill Upgrade"
"2026-03-17","Clinic & Pharmacy Medicine","Expense","Healthcare","Cash_MG","-","3200","JPY","Medicine","US","Need","Vitamin & Medicine"
"2026-03-19","Streaming & Entertainment","Expense","Entertainment","Crd-MUFG_MG","-","3500","JPY","Streaming","US","Want","Monthly Entertainment"
"2026-03-20","Office Stationery & Printing","Expense","Work_Expenses","Bk-YUCHO_MG","-","4800","JPY","Stationery","MG","Need","Work Supplies"
"2026-03-22","Family Living Support","Expense","Family_Support","Bk-YUCHO_MG","-","30000","JPY","Living Support","Mother","Need","Monthly Family Support"
"2026-03-25","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","320000","JPY","Salary1","MG","-","Monthly Salary Deposit"
"2026-03-25","Performance Bonus / Extra","Income","Extra_Income","-","Bk-YUCHO_MG","30000","JPY","Bonus","MG","-","Monthly Performance Extra"
"2026-03-25","Online Business Income","Income","Business_Income","-","KBZPay_MG","800000","MMK","Tiktok","MG","-","Monthly Online Income"
"2026-03-27","Credit Card Auto Payoff","Transfer","Transfer","Bk-YUCHO_MG","Crd-MUFG_MG","8000","JPY","Transfer","MG","-","Credit Card Settlement"
"2026-03-28","Laptop Goal Savings","Transfer","Savings_Investments","Bk-YUCHO_MG","Bk-YUCHO_MG","25000","JPY","Laptop","MG","-","Laptop Savings Deposit"
"2026-04-02","ATM Cash Withdrawal","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","50000","JPY","Transfer","MG","-","Monthly Cash Allowance"
"2026-04-02","Monthly Pocket Transfer","Transfer","Transfer","Bk-YUCHO_MG","YUCHO_CS","20000","JPY","Transfer","CS","-","CS Pocket Money"
"2026-04-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","Monthly House Rent"
"2026-04-05","Electricity Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","6200","JPY","Electricity Bill","US","Need","Power Bill"
"2026-04-05","City Gas Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","3800","JPY","Gas Bill","US","Need","Gas Utility"
"2026-04-06","High-Speed Internet Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","4800","JPY","Internet Bill","US","Need","Home Fiber"
"2026-04-07","Supermarket Cooking Groceries","Expense","Food_Expenses","Cash_MG","-","7500","JPY","Cooking Food","US","Need","Week 1 Food"
"2026-04-14","Meat & Vegetables Groceries","Expense","Food_Expenses","Cash_MG","-","8200","JPY","Cooking Food","US","Need","Week 2 Food"
"2026-04-21","Dining Out & Dinner","Expense","Food_Expenses","Cash_MG","-","7800","JPY","Dining Out","US","Want","Family Dinner"
"2026-04-28","Snacks & Groceries","Expense","Food_Expenses","Cash_MG","-","5500","JPY","Snacks & Drinks","US","Need","Week 4 Food"
"2026-04-08","Monthly Train Pass / Fare","Expense","Transportation","Cash_MG","-","4200","JPY","Train","US","Need","Commute Pass"
"2026-04-09","Kitchen & Daily Supplies","Expense","Living_Expenses","Cash_MG","-","4500","JPY","Daily Supplies","US","Need","Home Essentials"
"2026-04-18","Laundry & Bathroom Items","Expense","Living_Expenses","Cash_MG","-","3800","JPY","Laundry Items","US","Need","Detergent & Tissue"
"2026-04-11","Daily Clothes & Shoes","Expense","Fashion_Expenses","Crd-MUFG_MG","-","4500","JPY","Outfit Cloth","US","Want","Casual Wear"
"2026-04-15","National Health Insurance & Pension","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","45000","JPY","Health Insurance","US","Need","Monthly Social Insurance"
"2026-04-16","Technical Books & Online Course","Expense","Education","Bk-YUCHO_MG","-","4200","JPY","Online Course","MG","Need","Skill Upgrade"
"2026-04-17","Clinic & Pharmacy Medicine","Expense","Healthcare","Cash_MG","-","3200","JPY","Medicine","US","Need","Vitamin & Medicine"
"2026-04-19","Streaming & Entertainment","Expense","Entertainment","Crd-MUFG_MG","-","3500","JPY","Streaming","US","Want","Monthly Entertainment"
"2026-04-20","Office Stationery & Printing","Expense","Work_Expenses","Bk-YUCHO_MG","-","4800","JPY","Stationery","MG","Need","Work Supplies"
"2026-04-22","Family Living Support","Expense","Family_Support","Bk-YUCHO_MG","-","30000","JPY","Living Support","Mother","Need","Monthly Family Support"
"2026-04-25","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","320000","JPY","Salary1","MG","-","Monthly Salary Deposit"
"2026-04-25","Performance Bonus / Extra","Income","Extra_Income","-","Bk-YUCHO_MG","30000","JPY","Bonus","MG","-","Monthly Performance Extra"
"2026-04-25","Online Business Income","Income","Business_Income","-","KBZPay_MG","800000","MMK","Tiktok","MG","-","Monthly Online Income"
"2026-04-27","Credit Card Auto Payoff","Transfer","Transfer","Bk-YUCHO_MG","Crd-MUFG_MG","8000","JPY","Transfer","MG","-","Credit Card Settlement"
"2026-04-28","Laptop Goal Savings","Transfer","Savings_Investments","Bk-YUCHO_MG","Bk-YUCHO_MG","25000","JPY","Laptop","MG","-","Laptop Savings Deposit"
"2026-05-02","ATM Cash Withdrawal","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","50000","JPY","Transfer","MG","-","Monthly Cash Allowance"
"2026-05-02","Monthly Pocket Transfer","Transfer","Transfer","Bk-YUCHO_MG","YUCHO_CS","20000","JPY","Transfer","CS","-","CS Pocket Money"
"2026-05-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","Monthly House Rent"
"2026-05-05","Electricity Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","6200","JPY","Electricity Bill","US","Need","Power Bill"
"2026-05-05","City Gas Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","3800","JPY","Gas Bill","US","Need","Gas Utility"
"2026-05-06","High-Speed Internet Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","4800","JPY","Internet Bill","US","Need","Home Fiber"
"2026-05-07","Supermarket Cooking Groceries","Expense","Food_Expenses","Cash_MG","-","7500","JPY","Cooking Food","US","Need","Week 1 Food"
"2026-05-14","Meat & Vegetables Groceries","Expense","Food_Expenses","Cash_MG","-","8200","JPY","Cooking Food","US","Need","Week 2 Food"
"2026-05-21","Dining Out & Dinner","Expense","Food_Expenses","Cash_MG","-","7800","JPY","Dining Out","US","Want","Family Dinner"
"2026-05-28","Snacks & Groceries","Expense","Food_Expenses","Cash_MG","-","5500","JPY","Snacks & Drinks","US","Need","Week 4 Food"
"2026-05-08","Monthly Train Pass / Fare","Expense","Transportation","Cash_MG","-","4200","JPY","Train","US","Need","Commute Pass"
"2026-05-09","Kitchen & Daily Supplies","Expense","Living_Expenses","Cash_MG","-","4500","JPY","Daily Supplies","US","Need","Home Essentials"
"2026-05-18","Laundry & Bathroom Items","Expense","Living_Expenses","Cash_MG","-","3800","JPY","Laundry Items","US","Need","Detergent & Tissue"
"2026-05-11","Daily Clothes & Shoes","Expense","Fashion_Expenses","Crd-MUFG_MG","-","4500","JPY","Outfit Cloth","US","Want","Casual Wear"
"2026-05-15","National Health Insurance & Pension","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","45000","JPY","Health Insurance","US","Need","Monthly Social Insurance"
"2026-05-16","Technical Books & Online Course","Expense","Education","Bk-YUCHO_MG","-","4200","JPY","Online Course","MG","Need","Skill Upgrade"
"2026-05-17","Clinic & Pharmacy Medicine","Expense","Healthcare","Cash_MG","-","3200","JPY","Medicine","US","Need","Vitamin & Medicine"
"2026-05-19","Streaming & Entertainment","Expense","Entertainment","Crd-MUFG_MG","-","3500","JPY","Streaming","US","Want","Monthly Entertainment"
"2026-05-20","Office Stationery & Printing","Expense","Work_Expenses","Bk-YUCHO_MG","-","4800","JPY","Stationery","MG","Need","Work Supplies"
"2026-05-22","Family Living Support","Expense","Family_Support","Bk-YUCHO_MG","-","30000","JPY","Living Support","Mother","Need","Monthly Family Support"
"2026-05-25","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","320000","JPY","Salary1","MG","-","Monthly Salary Deposit"
"2026-05-25","Performance Bonus / Extra","Income","Extra_Income","-","Bk-YUCHO_MG","30000","JPY","Bonus","MG","-","Monthly Performance Extra"
"2026-05-25","Online Business Income","Income","Business_Income","-","KBZPay_MG","800000","MMK","Tiktok","MG","-","Monthly Online Income"
"2026-05-27","Credit Card Auto Payoff","Transfer","Transfer","Bk-YUCHO_MG","Crd-MUFG_MG","8000","JPY","Transfer","MG","-","Credit Card Settlement"
"2026-05-28","Laptop Goal Savings","Transfer","Savings_Investments","Bk-YUCHO_MG","Bk-YUCHO_MG","25000","JPY","Laptop","MG","-","Laptop Savings Deposit"
"2026-06-02","ATM Cash Withdrawal","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","50000","JPY","Transfer","MG","-","Monthly Cash Allowance"
"2026-06-02","Monthly Pocket Transfer","Transfer","Transfer","Bk-YUCHO_MG","YUCHO_CS","20000","JPY","Transfer","CS","-","CS Pocket Money"
"2026-06-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","Monthly House Rent"
"2026-06-05","Electricity Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","6200","JPY","Electricity Bill","US","Need","Power Bill"
"2026-06-05","City Gas Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","3800","JPY","Gas Bill","US","Need","Gas Utility"
"2026-06-06","High-Speed Internet Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","4800","JPY","Internet Bill","US","Need","Home Fiber"
"2026-06-07","Supermarket Cooking Groceries","Expense","Food_Expenses","Cash_MG","-","7500","JPY","Cooking Food","US","Need","Week 1 Food"
"2026-06-14","Meat & Vegetables Groceries","Expense","Food_Expenses","Cash_MG","-","8200","JPY","Cooking Food","US","Need","Week 2 Food"
"2026-06-21","Dining Out & Dinner","Expense","Food_Expenses","Cash_MG","-","7800","JPY","Dining Out","US","Want","Family Dinner"
"2026-06-28","Snacks & Groceries","Expense","Food_Expenses","Cash_MG","-","5500","JPY","Snacks & Drinks","US","Need","Week 4 Food"
"2026-06-08","Monthly Train Pass / Fare","Expense","Transportation","Cash_MG","-","4200","JPY","Train","US","Need","Commute Pass"
"2026-06-09","Kitchen & Daily Supplies","Expense","Living_Expenses","Cash_MG","-","4500","JPY","Daily Supplies","US","Need","Home Essentials"
"2026-06-18","Laundry & Bathroom Items","Expense","Living_Expenses","Cash_MG","-","3800","JPY","Laundry Items","US","Need","Detergent & Tissue"
"2026-06-11","Daily Clothes & Shoes","Expense","Fashion_Expenses","Crd-MUFG_MG","-","4500","JPY","Outfit Cloth","US","Want","Casual Wear"
"2026-06-15","National Health Insurance & Pension","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","45000","JPY","Health Insurance","US","Need","Monthly Social Insurance"
"2026-06-16","Technical Books & Online Course","Expense","Education","Bk-YUCHO_MG","-","4200","JPY","Online Course","MG","Need","Skill Upgrade"
"2026-06-17","Clinic & Pharmacy Medicine","Expense","Healthcare","Cash_MG","-","3200","JPY","Medicine","US","Need","Vitamin & Medicine"
"2026-06-19","Streaming & Entertainment","Expense","Entertainment","Crd-MUFG_MG","-","3500","JPY","Streaming","US","Want","Monthly Entertainment"
"2026-06-20","Office Stationery & Printing","Expense","Work_Expenses","Bk-YUCHO_MG","-","4800","JPY","Stationery","MG","Need","Work Supplies"
"2026-06-22","Family Living Support","Expense","Family_Support","Bk-YUCHO_MG","-","30000","JPY","Living Support","Mother","Need","Monthly Family Support"
"2026-06-25","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","320000","JPY","Salary1","MG","-","Monthly Salary Deposit"
"2026-06-25","Performance Bonus / Extra","Income","Extra_Income","-","Bk-YUCHO_MG","30000","JPY","Bonus","MG","-","Monthly Performance Extra"
"2026-06-25","Online Business Income","Income","Business_Income","-","KBZPay_MG","800000","MMK","Tiktok","MG","-","Monthly Online Income"
"2026-06-27","Credit Card Auto Payoff","Transfer","Transfer","Bk-YUCHO_MG","Crd-MUFG_MG","8000","JPY","Transfer","MG","-","Credit Card Settlement"
"2026-06-28","Laptop Goal Savings","Transfer","Savings_Investments","Bk-YUCHO_MG","Bk-YUCHO_MG","25000","JPY","Laptop","MG","-","Laptop Savings Deposit"
"2026-07-02","ATM Cash Withdrawal","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","50000","JPY","Transfer","MG","-","Monthly Cash Allowance"
"2026-07-02","Monthly Pocket Transfer","Transfer","Transfer","Bk-YUCHO_MG","YUCHO_CS","20000","JPY","Transfer","CS","-","CS Pocket Money"
"2026-07-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","Monthly House Rent"
"2026-07-05","Electricity Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","6200","JPY","Electricity Bill","US","Need","Power Bill"
"2026-07-05","City Gas Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","3800","JPY","Gas Bill","US","Need","Gas Utility"
"2026-07-06","High-Speed Internet Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","4800","JPY","Internet Bill","US","Need","Home Fiber"
"2026-07-07","Supermarket Cooking Groceries","Expense","Food_Expenses","Cash_MG","-","7500","JPY","Cooking Food","US","Need","Week 1 Food"
"2026-07-14","Meat & Vegetables Groceries","Expense","Food_Expenses","Cash_MG","-","8200","JPY","Cooking Food","US","Need","Week 2 Food"
"2026-07-21","Dining Out & Dinner","Expense","Food_Expenses","Cash_MG","-","7800","JPY","Dining Out","US","Want","Family Dinner"
"2026-07-28","Snacks & Groceries","Expense","Food_Expenses","Cash_MG","-","5500","JPY","Snacks & Drinks","US","Need","Week 4 Food"
"2026-07-08","Monthly Train Pass / Fare","Expense","Transportation","Cash_MG","-","4200","JPY","Train","US","Need","Commute Pass"
"2026-07-09","Kitchen & Daily Supplies","Expense","Living_Expenses","Cash_MG","-","4500","JPY","Daily Supplies","US","Need","Home Essentials"
"2026-07-18","Laundry & Bathroom Items","Expense","Living_Expenses","Cash_MG","-","3800","JPY","Laundry Items","US","Need","Detergent & Tissue"
"2026-07-11","Daily Clothes & Shoes","Expense","Fashion_Expenses","Crd-MUFG_MG","-","4500","JPY","Outfit Cloth","US","Want","Casual Wear"
"2026-07-15","National Health Insurance & Pension","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","45000","JPY","Health Insurance","US","Need","Monthly Social Insurance"
"2026-07-16","Technical Books & Online Course","Expense","Education","Bk-YUCHO_MG","-","4200","JPY","Online Course","MG","Need","Skill Upgrade"
"2026-07-17","Clinic & Pharmacy Medicine","Expense","Healthcare","Cash_MG","-","3200","JPY","Medicine","US","Need","Vitamin & Medicine"
"2026-07-19","Streaming & Entertainment","Expense","Entertainment","Crd-MUFG_MG","-","3500","JPY","Streaming","US","Want","Monthly Entertainment"
"2026-07-20","Office Stationery & Printing","Expense","Work_Expenses","Bk-YUCHO_MG","-","4800","JPY","Stationery","MG","Need","Work Supplies"
"2026-07-22","Family Living Support","Expense","Family_Support","Bk-YUCHO_MG","-","30000","JPY","Living Support","Mother","Need","Monthly Family Support"
"2026-07-25","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","320000","JPY","Salary1","MG","-","Monthly Salary Deposit"
"2026-07-25","Performance Bonus / Extra","Income","Extra_Income","-","Bk-YUCHO_MG","30000","JPY","Bonus","MG","-","Monthly Performance Extra"
"2026-07-25","Online Business Income","Income","Business_Income","-","KBZPay_MG","800000","MMK","Tiktok","MG","-","Monthly Online Income"
"2026-07-27","Credit Card Auto Payoff","Transfer","Transfer","Bk-YUCHO_MG","Crd-MUFG_MG","8000","JPY","Transfer","MG","-","Credit Card Settlement"
"2026-07-28","Laptop Goal Savings","Transfer","Savings_Investments","Bk-YUCHO_MG","Bk-YUCHO_MG","25000","JPY","Laptop","MG","-","Laptop Savings Deposit"
"2026-08-02","ATM Cash Withdrawal","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","50000","JPY","Transfer","MG","-","Monthly Cash Allowance"
"2026-08-02","Monthly Pocket Transfer","Transfer","Transfer","Bk-YUCHO_MG","YUCHO_CS","20000","JPY","Transfer","CS","-","CS Pocket Money"
"2026-08-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","Monthly House Rent"
"2026-08-05","Electricity Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","6200","JPY","Electricity Bill","US","Need","Power Bill"
"2026-08-05","City Gas Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","3800","JPY","Gas Bill","US","Need","Gas Utility"
"2026-08-06","High-Speed Internet Bill","Expense","Bills_Utilities","Bk-YUCHO_MG","-","4800","JPY","Internet Bill","US","Need","Home Fiber"
"2026-08-07","Supermarket Cooking Groceries","Expense","Food_Expenses","Cash_MG","-","7500","JPY","Cooking Food","US","Need","Week 1 Food"
"2026-08-14","Meat & Vegetables Groceries","Expense","Food_Expenses","Cash_MG","-","8200","JPY","Cooking Food","US","Need","Week 2 Food"
"2026-08-21","Dining Out & Dinner","Expense","Food_Expenses","Cash_MG","-","7800","JPY","Dining Out","US","Want","Family Dinner"
"2026-08-08","Monthly Train Pass / Fare","Expense","Transportation","Cash_MG","-","4200","JPY","Train","US","Need","Commute Pass"
"2026-08-09","Kitchen & Daily Supplies","Expense","Living_Expenses","Cash_MG","-","4500","JPY","Daily Supplies","US","Need","Home Essentials"
"2026-08-18","Laundry & Bathroom Items","Expense","Living_Expenses","Cash_MG","-","3800","JPY","Laundry Items","US","Need","Detergent & Tissue"
